tickers,Symbol,MarketCap,Sector,Industry
MRO,MRO,13980056159.72,Energy,Oil & Gas Production
MS,MS,72250000000.0,Finance,Investment Bankers/Brokers/Service
MSCI,MSCI,15882535000.0,Miscellaneous,Business Services
MSFT,MSFT,863354179078.38,Technology,Computer Software: Prepackaged Software
MSI,MSI,23533555669.68,Technology,Radio And Television Broadcasting And Communications Equipment
MTB,MTB,23908250320.02,Finance,Major Banks
MTD,MTD,17325919806.12,Capital Goods,Biotechnology: Laboratory Analytical Instruments
MTG,MTG,4637591550.0,Finance,Property-Casualty Insurers
MTW,MTW,657946470.72,Capital Goods,Construction/Ag Equipment/Trucks
MU,MU,46613126318.22,Technology,Semiconductors
MUR,MUR,5196878707.02,Energy,Oil & Gas Production
MXIM,MXIM,15050578617.0,Technology,Semiconductors
MYL,MYL,14154084427.95,Health Care,Major Pharmaceuticals
NAV,NAV,3873200993.55,Capital Goods,Auto Manufacturing
NAVI,NAVI,3015870000.0,Finance,Investment Bankers/Brokers/Service
NBL,NBL,10904599392.75,Energy,Oil & Gas Production
NBR,NBR,1166410285.16,Energy,Oil & Gas Production
NCLH,NCLH,12029551093.88,Consumer Services,Marine Transportation
NCR,NCR,3390072000.0,Miscellaneous,Office Equipment/Supplies/Services
NDAQ,NDAQ,15082406821.74,Finance,Investment Bankers/Brokers/Service
NE,NE,755190860.94,Energy,Oil & Gas Production
NEE,NEE,89685097237.8,Public Utilities,Electric Utilities: Central
NEM,NEM,18014880629.9,Basic Industries,Precious Metals
NFLX,NFLX,156005410680.04,Consumer Services,Consumer Electronics/Video Chains
NFX,,,,
NGVT,NGVT,4861502190.47,Basic Industries,Major Chemicals
NI,NI,10023823362.15,Public Utilities,Power Generation
NKE,NKE,137172194022.2,Consumer Non-Durables,Shoe Manufacturing
NKTR,NKTR,6599739858.03,Health Care,Major Pharmaceuticals
NLSN,NLSN,9577449973.6,Miscellaneous,Business Services
NOC,NOC,48714664509.0,Capital Goods,Industrial Machinery/Components
NOV,NOV,11039046031.34,Energy,Metal Fabrications
NRG,NRG,12235047012.8,Public Utilities,Electric Utilities: Central
NSC,NSC,47839734161.62,Transportation,Railroads
NTAP,NTAP,16354669070.74,Technology,Electronic Components
NTRS,NTRS,20396587560.0,Finance,Major Banks
NUE,NUE,18448528670.0,Basic Industries,Steel/Iron Ore
NVDA,NVDA,94808700000.0,Technology,Semiconductors
NVT,NVT,4921516089.54,Technology,Industrial Machinery/Components
NWL,NWL,7548156000.0,Consumer Non-Durables,Plastic Products
NWSA,NWSA,7750663409.25,Consumer Services,Newspapers/Magazines
NYT,NYT,5496137498.6,Consumer Services,Newspapers/Magazines
O,O,21000728102.6,Consumer Services,Real Estate Investment Trusts
ODP,ODP,1948024264.12,Consumer Services,Other Specialty Stores
OI,OI,3063227445.66,Consumer Durables,Containers/Packaging
OKE,OKE,27096380489.99,Public Utilities,Oil & Gas Production
